Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
C1QL1	6.74479962156062	-0.336204583237315	9.86828028942798	1.22196395978832e-14	3.658850053156e-12	22.8889778332665
FGD5	7.81608168939016	0.191916705580089	9.74184176495158	2.03698800512919e-14	5.99757168310206e-12	22.4243130973088
SLITRK4	7.0444759371535	-2.38519300233999	9.70757066412357	2.34013780740308e-14	6.77719254189881e-12	22.1182929508131
GLIS1	7.31313585137757	-3.94142127346431	9.67369518867459	2.68435120271406e-14	7.64866908824945e-12	21.5873690907132
C5orf46	7.64639555491659	-2.53934201892303	9.66849669976775	2.74150275990983e-14	7.68752186612175e-12	21.9878592512361
NR1H4	10.2672751824199	-1.59826204004571	9.65824722478207	2.85779137559142e-14	7.88839725643718e-12	22.0689138477127
NCAM1	7.79054587402323	-1.29417770269599	9.54959473468177	4.4412753419699e-14	1.19447083435363e-11	21.6492676319994
RAB42	5.84303759969342	0.334631980949246	9.54841933082054	4.46253113706212e-14	1.19447083435363e-11	21.6273931500249
GNG11	8.50426721960341	-1.71663275230683	9.54195560106166	4.58125965283365e-14	1.20794825413372e-11	21.631749197954
C10orf10	5.19025413758209	3.24374299496732	9.3999408950419	8.16345506761824e-14	2.12081760624329e-11	21.1528675092977
F2	8.11656427383796	-1.9481214936599	9.34980823422651	1.00136137308658e-13	2.563775364775e-11	20.7749580007524
COL8A1	8.0989931760867	-1.66415357285535	9.28840860727771	1.28631905884528e-13	3.24630178479438e-11	20.6607046467358
CDH2	7.80002094292202	-2.08574043159191	9.26722264124299	1.40249477997227e-13	3.48964405394227e-11	20.5346497589951
AGXT2	8.47285045511606	-3.87249662165701	9.2083931628591	1.7833837590923e-13	4.37573020668396e-11	20.000559219161
MYOCOS	4.90015922599819	-0.872691169831754	9.16337130338917	2.14369712938782e-13	5.18774705311853e-11	19.9409409430553
C1orf186	8.10496396144369	-1.29994858721727	9.11579414126958	2.60421895427099e-13	6.21704487110153e-11	19.8970428269296
CD70	8.72660858062525	-0.473247755839794	9.11022910702737	2.66420048116702e-13	6.27543542670621e-11	19.9328218028238
SLC6A12	8.60366408488374	-2.29185776037718	9.04721051828657	3.44834395684852e-13	7.98132599427451e-11	19.5634338868656
MCHR1	6.66504930697534	-3.60484489992674	9.04506467511209	3.4787846799453e-13	7.98132599427451e-11	19.0152905376306
TNFSF10	6.2398979798668	4.5057061100167	8.99065847039611	4.34752333505166e-13	9.84658297910547e-11	19.526614634179
SAA1	7.92022359362096	-2.0777298555687	8.96824035399572	4.76601312266931e-13	1.06577706107691e-10	19.3405663246699
TFPI2	7.1817690539959	-1.45352633618138	8.95913371860252	4.94734428622068e-13	1.09249730200468e-10	19.3330016312336
BAALC	6.42760164423721	-2.21354752529128	8.94622183079705	5.21637352080432e-13	1.13768462492011e-10	19.0957086209121
NDUFA4L2	8.51725065801779	1.96392128355053	8.88835172284937	6.61430997187532e-13	1.42498048735548e-10	19.1147647320682
SBSPON	5.31151077276346	1.20677098403795	8.85049910254218	7.72631956813474e-13	1.64449592157432e-10	18.8957614692505
GALNT14	7.8971079446698	-0.934608600141771	8.81562006284211	8.91633563600405e-13	1.8751903017339e-10	18.8003811314413
DNAJB13	5.12843261944917	-0.635825796456756	8.77919107408004	1.03559946220838e-12	2.15234118816155e-10	18.4997178144059
ENPEP	6.32602383008683	1.61063857007064	8.72017241346533	1.3199680143305e-12	2.71145987687938e-10	18.4241908650842
EYA1	6.87410598036678	-1.77222149992308	8.66460293432566	1.65896508644806e-12	3.36865255370017e-10	18.1471099507718
TRABD2B	7.85984675011505	-0.902148329132477	8.64441071163821	1.80270264500524e-12	3.61892555984803e-10	18.0954630693594
KRT222	7.52902423132934	-4.0146109075191	8.57696541320095	2.37963601953401e-12	4.72344381135818e-10	17.3451815278271
PCSK6	5.49894687223029	4.05358448924303	8.48289424064563	3.50608101290412e-12	6.8820474637738e-10	17.492928217567
MLYCD	3.57282021804495	2.89796613721066	8.44564829067888	4.0878723703267e-12	7.93586299936171e-10	17.3107494175562
RRAD	6.47212056700428	0.867687608443672	8.44080461401578	4.17032155920519e-12	8.00792398531728e-10	17.3083669808888
ADAM12	5.36081910872836	-0.779787375073145	8.43309458743542	4.30501193257396e-12	8.17767105385502e-10	17.2422383920456
HTRA1	7.3589724184858	0.76409047859692	8.39744523319267	4.98671321868481e-12	9.37183784268998e-10	17.1395923802159
ACMSD	7.97954090313558	-2.69761143421962	8.37798374530119	5.4034622363083e-12	9.88597984215344e-10	16.9774341030994
AMIGO1	3.32901765150196	2.35058169601669	8.37764932116508	5.41092047545044e-12	9.88597984215344e-10	17.036292700258
PAEP	8.02951312966631	-2.31056307891607	8.3768777436884	5.4281673536108e-12	9.88597984215344e-10	16.9447913036426
DMGDH	6.22207021370185	-1.86954134911607	8.35839972360649	5.85805942430323e-12	1.05600487540552e-09	16.8710006945098
PNCK	7.42792061596163	0.915454766207886	8.33674144578467	6.40554547793324e-12	1.14303400417342e-09	16.9011595571026
HSPB8	7.19682397410385	0.65139675064188	8.31841137028591	6.90875329295132e-12	1.22050035673278e-09	16.8291149829951
DPYS	7.94059488058039	-4.38259052180271	8.31381410600052	7.04105187042226e-12	1.23155665686019e-09	16.2855788075034
SLC6A13	6.57801715278465	-2.82804272044765	8.30133445060257	7.41311901743632e-12	1.283923142765e-09	16.5955575180208
ADORA1	6.8756232421951	-1.6084147223572	8.20585874247235	1.09936040362794e-11	1.88556319325157e-09	16.3201427700766
SAA2	6.29963298046864	-1.75894218715785	8.15889700840176	1.33458168871683e-11	2.26699231854534e-09	16.0771060698808
CTHRC1	4.97074202508234	1.43581032976112	8.14348953871321	1.42224643789907e-11	2.39289576875476e-09	16.1292022069991
DEFB1	7.24538060843265	0.586932253440476	8.10872583795087	1.64180118480847e-11	2.73623205007797e-09	15.9677457121902
TUBA4B	6.3650979935194	-4.30132145430968	8.09051305506557	1.77005269655539e-11	2.92240662965865e-09	15.3020710982181
SLC2A5	6.13500612982331	0.518328761354275	8.07291672097872	1.90347721981976e-11	3.11359523753111e-09	15.8183031735
IL6	7.07740345651104	-2.27134719908555	8.00590753719447	2.51043491076754e-11	4.06874707647885e-09	15.5071919008485
MAOB	6.89076293164803	1.03289671729408	7.98679119488471	2.71670422955776e-11	4.36302699266976e-09	15.4993737557196
HSPA12A	5.32503387757692	1.8450508579107	7.96738247776247	2.94347950291541e-11	4.6592230520168e-09	15.4165817543958
HMOX1	4.33303969797894	3.65240937530264	7.96652835648075	2.95388306252621e-11	4.6592230520168e-09	15.4187746438586
CPE	7.12206666588639	3.71733156643629	7.96197161638461	3.01001077539418e-11	4.70573896974456e-09	15.3978572829018
PDZK1	6.08248343955477	1.88390782348503	7.9524180344201	3.13117386241873e-11	4.85222082925345e-09	15.3602814151113
COL6A3	7.27582325999341	-0.121557008251297	7.90601364774089	3.79278067743606e-11	5.82637073457264e-09	15.1790661725106
TMEM145	4.05464440668951	0.187346607043832	7.88083745326762	4.20847232032349e-11	6.40921310438231e-09	14.968422101535
STRA8	6.46527655884514	-4.51797333233855	7.84658175290532	4.84818505281646e-11	7.32034505496202e-09	14.299541008395
HLX	5.86348649295919	-2.55405077419893	7.80861369505032	5.67141500367539e-11	8.49078114024826e-09	14.6251276331257
PDZK1IP1	6.89045231347457	3.19124815127016	7.79409828248568	6.0218530558834e-11	8.93966857859127e-09	14.7310975674389
VCAM1	7.28691983690896	-1.54530548452687	7.77128099626823	6.61698177097859e-11	9.74129999717565e-09	14.6302747815637
GPX3	7.19132579472474	2.9967811345101	7.75691967592063	7.02134561650009e-11	1.02511646000901e-08	14.5840149699505
INHBE	5.19985065202289	-1.27000254105512	7.75475272766065	7.08446744884042e-11	1.02585411435422e-08	14.4457498513307
CXCR4	7.93025598316473	0.805033165861622	7.72765388178561	7.92341919280218e-11	1.13800913382149e-08	14.4661752852683
SNX10	4.5205067084937	3.19168414452876	7.71649261765494	8.29718554794574e-11	1.18208128943556e-08	14.4213246834537
CRP	7.61279996921384	-4.62456956752195	7.6479144614615	1.10131625556956e-10	1.55646823767135e-08	13.7386040980317
ANGPTL4	6.28230502583615	3.6315407523798	7.63401274938198	1.16637455104983e-10	1.63533117609892e-08	14.0682814495348
C10orf128	7.92767176687339	-3.18173878448924	7.62308313810444	1.22020818801519e-10	1.6973384133446e-08	13.9970577751246
C14orf105	7.33060113994506	-0.474199539559777	7.61287812143183	1.27271104509197e-10	1.75654010332772e-08	13.988482582736
RNF183	5.64976128145316	0.684606477098419	7.55002334557127	1.6496701718136e-10	2.2569955645266e-08	13.7295220211446
SPOCK1	5.78172444473162	-0.379551394555193	7.54838361103562	1.66087073128302e-10	2.2569955645266e-08	13.7454349998315
SPAG4	4.73795858358558	1.8262646197893	7.53310757580927	1.76893536661379e-10	2.38549711348086e-08	13.6880275592754
SCN9A	5.20808504888942	0.316918796366256	7.52146789544016	1.85596461519299e-10	2.48389930999995e-08	13.6322477438081
UGT2B7	7.73272424279216	1.20483975710248	7.4904543964072	2.10929214341225e-10	2.80171090267073e-08	13.5203384260107
IGFBP5	8.09683029395129	0.834860982501603	7.48080186216504	2.19497140647695e-10	2.89375857215088e-08	13.4746847945309
CLEC2B	5.6552883523691	0.224972777073866	7.46430287118607	2.34954317061408e-10	3.0745947890421e-08	13.4150147281727
JPH2	5.35595069711437	-0.851966440026292	7.45444520743094	2.44703242256926e-10	3.17862314537563e-08	13.3467852952458
FLG	7.61613350940927	-1.16059608806873	7.43831021978041	2.61539120193103e-10	3.37251831921996e-08	13.3031964998444
SPON2	5.97081104378992	2.06537406001624	7.39930422845559	3.07170260669985e-10	3.93222451086663e-08	13.1556860460245
KNDC1	5.98923113909889	-1.10385981055713	7.36205920659575	3.58135234395205e-10	4.55166694304007e-08	12.9940915239836
GLYAT	3.49071171766755	0.490499470673554	7.34353793212595	3.86537318783546e-10	4.84426239599901e-08	12.8534727594458
KLHDC7A	5.84143266706401	-0.0419562818141651	7.34347248133185	3.86641570155021e-10	4.84426239599901e-08	12.9168232526278
CADM3	6.26748510389314	-4.24445090230344	7.30483794667389	4.53343268700168e-10	5.63997336961772e-08	12.3282327367943
TM4SF18	6.68259387617327	-1.6059629982792	7.2669775574144	5.29827362568671e-10	6.54540572527142e-08	12.6173151948793
WDR91	3.38988610852442	3.08781030093918	7.25863885695545	5.4833138891813e-10	6.72695994210255e-08	12.5929433023753
PRUNE2	6.52096275294034	0.707390774712954	7.22835250615541	6.21126698423788e-10	7.52902304142663e-08	12.4718352822818
HNF1B	7.02929859401872	2.01527839906555	7.22721231353024	6.24047909900339e-10	7.52902304142663e-08	12.4738267185112
ALDH8A1	5.01365357692692	-1.12650422111933	7.22626119639859	6.26495181189694e-10	7.52902304142663e-08	12.3866220403334
HABP2	7.58142367414428	-0.677106405918841	7.21882378430405	6.4596494745314e-10	7.71055186601836e-08	12.4359058154328
TMEM176A	6.74114478420425	3.86152904441134	7.21182644034268	6.6483314854329e-10	7.85367003980508e-08	12.4054697955688
LAIR2	6.99771127964146	-4.06009667351474	7.21109161312756	6.66846205123266e-10	7.85367003980508e-08	12.3085787962637
BICC1	6.46813422160141	1.0228968853305	7.20778793868007	6.75971956659906e-10	7.90842422937345e-08	12.3963354163463
SOD2	3.52990518077849	5.49823352465298	7.2039698058379	6.86674016017852e-10	7.98077839932327e-08	12.3349323545923
GOLGA8I	5.08860291928763	-0.600198045351172	7.18620632056548	7.38728411120025e-10	8.48398832154736e-08	12.2875526565391
TMEM140	3.39222902702167	3.35910267581502	7.18592766700239	7.39575569748836e-10	8.48398832154736e-08	12.2983494543935
PDE10A	7.03196092658334	-0.852540088559482	7.15068494617157	8.54912920578788e-10	9.74380106770636e-08	12.1705906489044
RNASET2	4.82893583704867	5.82642710357737	7.13668956878738	9.05540630172477e-10	1.02546671619404e-07	12.0730919150541
POU5F1	4.8300531689972	2.06787397426907	7.11697290962847	9.81974574181916e-10	1.10494030748393e-07	12.0371148199198
P3H2	6.35262625400342	2.82453940509054	7.09071245927444	1.09384955469838e-09	1.21756227424606e-07	11.9202186912423
SYT13	7.24986146269477	3.37023627784154	7.08949481722195	1.09933447392117e-09	1.21756227424606e-07	11.9214583692074
TMEM176B	6.67635777181574	4.71284562470832	7.08874194483855	1.10273952156329e-09	1.21756227424606e-07	11.9070241956336
C4B	7.82997854791863	-0.526828141529956	7.06605483084868	1.2104277758601e-09	1.32816255207109e-07	11.8350465699062
CA12	7.27602158155566	4.43946392863102	7.0559554157961	1.26167751531678e-09	1.37585154232014e-07	11.7747537615918
SCARB1	3.33621216091879	5.80145612158865	7.04381353037453	1.32616140145018e-09	1.43729860846741e-07	11.6969198288869
LMO1	6.34765708445798	-4.00995927118414	7.0259926234965	1.42679746065692e-09	1.53693926463203e-07	11.4169581857073
KL	6.20337339235756	-0.649378528010306	6.99985951132044	1.58828604747107e-09	1.70052492815903e-07	11.5264969925229
C4A	7.03697951851185	1.60719275190836	6.99075856391386	1.64869765392044e-09	1.75457185266016e-07	11.525264111949
MTCP1	3.23282561418329	1.6591123282647	6.98264281920538	1.70449702366832e-09	1.80309248024697e-07	11.498662143412
MRAS	5.46610106885477	-0.330205631861123	6.9432875981692	2.00292716774914e-09	2.1061732943724e-07	11.3518254440214
EPHA7	7.63995673355687	-1.58554770483213	6.93231478961963	2.09504285645852e-09	2.19000160368025e-07	11.3085600295222
CLEC18B	5.5853642555371	-1.76775417970882	6.9256942387595	2.15264959753192e-09	2.2369828111764e-07	11.2499085240424
GUCY1B3	6.50488333880281	-1.43355985059844	6.86021343379066	2.81456645007827e-09	2.90144941848237e-07	11.0251407127054
PMP22	4.17274138588393	3.00196015121038	6.85931662292206	2.82491395889827e-09	2.90144941848237e-07	10.9970570916107
SERPING1	6.57960462912368	-0.244417978219932	6.85501724854619	2.87504891728232e-09	2.9358736516017e-07	10.9948052129252
CDHR5	6.75943866666718	2.73184549757925	6.85328215618544	2.89553172592776e-09	2.9397967511632e-07	10.9951550937671
CSF1	4.16746664868723	1.40130641821536	6.83415857147579	3.13113755659001e-09	3.16083863284109e-07	10.9176517003136
KCNK3	4.49829539334655	-0.29594911356804	6.82644963128497	3.23142264421665e-09	3.24354047913246e-07	10.8913799571364
PLIN2	5.08756593119409	6.51228523437628	6.81165151675622	3.43297247043435e-09	3.42637806003917e-07	10.7519025829169
LOXL2	4.71220349725754	1.5576191118654	6.79773993329484	3.63383737576756e-09	3.60648152136572e-07	10.750898678544
LRP2	6.50057521291662	-1.05665895847334	6.7957440053127	3.66359943055964e-09	3.61570656649535e-07	10.7711746956376
EHD2	4.80525078904571	1.88025861334642	6.7744442705506	3.99671230858517e-09	3.92255109130364e-07	10.6573414874943
EFEMP1	7.24483528722091	-1.54872028263184	6.76821041974913	4.09978629864006e-09	4.00148203048483e-07	10.6616156432405
ZEB2	5.0400008515827	0.245941334462677	6.75985140902595	4.24216055511821e-09	4.11769276740211e-07	10.630202793802
MACROD2	5.81542894830892	0.838947386728141	6.75256425849812	4.37028456073953e-09	4.21887688797948e-07	10.6032421474418
ACKR3	7.2848513687653	-0.253491482354222	6.71557345996389	5.08247554832367e-09	4.87972896938511e-07	10.4563657579391
TCAF2	3.13035579268595	2.4936753010677	6.70047314099097	5.40536211392548e-09	5.161682546195e-07	10.3954093143188
MAP7D2	5.9009577181594	2.00282836462335	6.68801111047696	5.68713763225862e-09	5.40155771029467e-07	10.3411809832157
SLC2A2	7.18671463795681	-3.95019464377377	6.68664454724588	5.71891171701951e-09	5.40268953972549e-07	10.1901523652069
SLC43A2	3.90407684460095	3.24688720815102	6.66667662876669	6.2038321557038e-09	5.8216222829758e-07	10.2582339674499
TCN2	4.39411710816387	3.05375954091515	6.66571176033251	6.22827245263458e-09	5.8216222829758e-07	10.2352232276424
ITGB3	5.7352903820374	-0.763972904109819	6.65160879154032	6.59662306934737e-09	6.10153578328699e-07	10.1999956887398
ABCC2	5.27396351102565	2.04211671043176	6.65160164985146	6.59681498136429e-09	6.10153578328699e-07	10.1951544790149
SLC17A2	6.06254051568118	-4.68800014034293	6.63181475430434	7.1504166436114e-09	6.57912814718954e-07	9.76052922442953
THY1	7.13954566393244	-1.80139961863738	6.62067057923297	7.48229091370452e-09	6.84881612857534e-07	10.0878427310631
UNC79	3.89584513969076	-1.36408256467219	6.61638599181536	7.61392208429069e-09	6.9333787392309e-07	9.92479464670865
GPC6	4.76487714239606	-0.658626360153939	6.60115839210943	8.1006452635457e-09	7.33876919106658e-07	10.0009751634526
ACY3	4.67383435129822	1.65863672860987	6.59129318306452	8.43234829323201e-09	7.60029923205289e-07	9.97383084593371
HSD3B7	3.16332583462253	4.54094505501442	6.57188476155031	9.12482823474462e-09	8.14125126329697e-07	9.84021498722366
MSC	7.15751712069261	-2.76813198536415	6.57175287738389	9.12972198847271e-09	8.14125126329697e-07	9.89273769341354
PGBD5	5.90004716731216	0.880152760285687	6.57064929459387	9.17077437674684e-09	8.14125126329697e-07	9.89151767345625
AMZ1	4.65154764415257	-0.767174922722752	6.56256833731949	9.47702060193106e-09	8.37105229768571e-07	9.81613885845791
MAP3K7CL	4.1230831985509	1.01718388393662	6.55843808087771	9.63744827938177e-09	8.47040603500291e-07	9.84485965877938
FAM131C	6.18484988578898	-1.33846929196543	6.54898882258689	1.00146963489889e-08	8.71748413526547e-07	9.79294314272353
ACTR3C	3.0085701892121	2.48709052937049	6.54892580816568	1.00172607237569e-08	8.71748413526547e-07	9.80927167844457
RCAN2	5.15522323947481	-0.268080198602429	6.54712590526681	1.00907839283072e-08	8.73842102340561e-07	9.78855769361098
CLRN3	6.61844778429573	2.31674340910287	6.54463539549557	1.01934022384011e-08	8.78422653383387e-07	9.78721898612278
NKAIN4	5.91924898865321	-2.31492818002181	6.53078972370696	1.07830877893446e-08	9.24728295565833e-07	9.68153675453146
SERPINA6	7.30993397781615	-1.30384745022895	6.52153133598964	1.11961834780956e-08	9.55515832483272e-07	9.69916266394248
DCLK1	6.47808396223304	-2.48823820397964	6.51715556220381	1.13968574253757e-08	9.67965784984072e-07	9.67306620838203
LOX	4.392614901456	1.85069658934786	6.50445669895811	1.19996832809342e-08	1.01428901837791e-06	9.59754516544536
AVPR1B	6.17121956441438	-4.55769105212635	6.47370349293202	1.35939832620545e-08	1.14357765860692e-06	9.11114263271861
CNDP2	2.64389962455393	6.89502065384309	6.47197135718203	1.36897900055033e-08	1.1461792902238e-06	9.40893584870294
TRIM54	5.91226811084108	-0.315775116826035	6.45214351725604	1.48354311281153e-08	1.2362392750438e-06	9.43411501411217
STON2	3.87003582404533	2.95817529180557	6.43532914673492	1.58811967195998e-08	1.31717005280962e-06	9.35735431294354
CFI	6.95889453777447	-0.0549411420786493	6.40971098877337	1.76168182658228e-08	1.45429304431788e-06	9.26688876794155
C3	7.30636473841241	2.89859410083959	6.39250910127573	1.8886612938005e-08	1.55186467052464e-06	9.12505229864082
C11orf86	5.71015974394673	-0.845458643498768	6.36664270460262	2.09689089470476e-08	1.71498493267844e-06	9.10315919821876
ENO2	3.91112169156433	5.63520161844072	6.35565020929219	2.19213750135484e-08	1.78462217045781e-06	8.95876654543509
ACSM2A	7.51003197294443	-4.48378218735403	6.34606887077808	2.27865053617921e-08	1.84654313633679e-06	8.79068568617943
GSTA2	6.57755140277096	-2.34171133611418	6.34112472044338	2.32460932023503e-08	1.87518485165626e-06	8.99082819333308
SLC8A1	4.08267478487198	0.687447007017193	6.33997819712017	2.33539760732595e-08	1.87532427868274e-06	8.99264207654735
SLC3A1	6.50303185208473	2.6181543035003	6.33228372281519	2.4090957426796e-08	1.92575047014379e-06	8.95368879670895
TSPAN9	3.82880670895208	4.50818905822114	6.31326002493759	2.60135845793493e-08	2.07007200530984e-06	8.80234772535508
HILPDA	2.93374469229175	4.86659224773127	6.30737937048886	2.66381516408552e-08	2.10380219441342e-06	8.80325923023
TRPA1	6.29025395760424	-2.46619097936942	6.30703084701049	2.66756306774938e-08	2.10380219441342e-06	8.84964599019629
ICAM1	4.65926132497343	3.57463578403059	6.30005280260964	2.7437130158821e-08	2.14614469041774e-06	8.75621923964773
P2RX7	3.84818305076719	0.0242789983696506	6.29988693585596	2.74554907751845e-08	2.14614469041774e-06	8.84018766644965
CDH11	5.24216610582964	0.0541508300675911	6.29424642606895	2.80871731853157e-08	2.18585022683607e-06	8.82285008017949
DRAM1	3.05976740873925	4.20344581314183	6.28667598356275	2.89576993117805e-08	2.2437136668505e-06	8.72538819495105
TMEM133	3.44829160582993	1.22931920440374	6.23838759211138	3.51753847654763e-08	2.71357356885111e-06	8.60864004756792
SLC7A2	5.74417564103512	1.19038987330205	6.23676436105169	3.54059367526365e-08	2.71948382031337e-06	8.56655590009469
SMIM10L2A	4.02973810361476	0.364695108954063	6.22653250309116	3.68940725156587e-08	2.8215181171499e-06	8.56491001612126
