Hallmark_pathways	PAAD_NX.34_P3	PAAD_NX.35_P3	PAAD_NX.36_P3	PAAD_NX.37_P4	PAAD_NX.38_P3	PAAD_NX.39_P3	PAAD_NX.40_P3	PAAD_NX.41_P4	KIRC_NX.27_P2	KIRC_NX.27_P3	KIRC_NX.28_P2	KIRC_NX.28_P3	NSCLC_NX.29_P5	NSCLC_NX.30_P3	NSCLC_NX.31_P3	NSCLC_NX.32_P3	NSCLC_NX.33_P3	COAD_NX.03_P3	COAD_NX.04_P7	COAD_NX.04_P8	COAD_NX.04_P9	COAD_NX.04_P10	COAD_NX.04_P11	COAD_NX.04_P13	COAD_NX.05_P3	COAD_NX.06_P3	COAD_NX.07_P3	COAD_NX.08_P3	COAD_NX.09_P3	COAD_NX.10_P3	COAD_NX.11_P3	COAD_NX.12_P3	COAD_NX.13_P3	COAD_NX.14_P3	COAD_NX.15_P3	COAD_NX.16_P3	COAD_NX.17_P5	COAD_NX.17_P6	COAD_NX.17_P7	COAD_NX.18_P3	COAD_NX.19_P2	COAD_NX.19_P4	COAD_NX.20_P2	COAD_NX.20_P3	COAD_NX.21_P5	COAD_NX.22_P3	STAD_NX.42_P5	STAD_NX.42_P6	STAD_NX.42_P7	STAD_NX.42_P8	STAD_NX.43_P3	BRCA_NX.01_P3	BRCA_NX.02_P4	BRCA_NX.02_P5	GBM_NX.24_P3	GBM_NX.24_P4	GBM_NX.24_P5	GBM_NX.24_P6	EWS_NX.23_P3	EWS_NX.23_P4	EWS_NX.23_P5	EWS_NX.23_P6	EWS_NX.23_P7	EWS_NX.23_P8	EWS_NX.23_P9	EWS_NX.23_P10	GIST_NX.25_P3	GIST_NX.25_P4	GIST_NX.25_P5	GIST_NX.26_P3
ADIPOGENESIS	-0.25282	-0.54749	-0.12385	-0.40199	0.23346	-0.06491	0.04064	-0.29957	-0.15049	0.05052	-0.00508	-0.39342	0.06795	-0.32109	-0.08668	-0.38633	0.00341	-0.29357	-0.22785	0.07898	0.23995	-0.26467	-0.03636	0.177	-0.16347	-0.42859	-0.25875	0.36757	-0.42107	0.37998	-0.42615	-0.47311	-0.02105	-0.34966	0.05511	-0.28842	0.22989	0.36016	-0.2168	-0.35758	-0.22853	-0.08464	-0.04809	0.11053	-0.14124	-0.00485	0.07597	-0.14638	0.0842	-0.19415	-0.32879	-0.12825	-0.08968	-0.07275	0.4476	-0.33736	-0.25657	-0.13994	0.00681	0.38134	0.05288	0.37839	0.19177	0.1565	0.25908	0.35476	0.02532	0.13547	-0.10212	0.29058
ESTROGEN_RESPONSE_EARLY	-0.00104	0.08106	-0.11187	-0.06211	-0.19946	0.0244	-0.12475	-0.11377	-0.29033	-0.13369	-0.19932	-0.06983	0.14332	-0.17092	-0.12648	-0.02058	-0.31379	0.28478	0.02442	0.366	0.196	0.04041	0.16268	-0.06301	0.07446	-0.15596	0.00515	0.06564	-0.11301	-0.31794	0.13582	0.24407	-0.00195	0.15031	0.2138	-0.08651	-0.15297	0.1892	0.03777	-0.09697	0.14338	-0.04018	0.25178	0.16172	0.07503	-0.18733	-0.13863	-0.22567	0.01585	-0.07431	0.23153	-0.09975	0.08731	0.02527	-0.09389	-0.26945	-0.18776	-0.11581	-0.08739	-0.24339	-0.1074	0.11707	-0.173	-0.08078	0.00697	0.04469	-0.04138	-0.1508	-0.02802	-0.17813
ESTROGEN_RESPONSE_LATE	-0.13986	-0.11491	-0.16027	-0.20646	-0.04088	0.13277	0.07432	-0.23488	-0.09359	-0.06544	-0.20103	-0.18587	0.27311	-0.06342	-0.06224	-0.05378	-0.15018	0.09612	-0.02146	0.31018	0.16493	-0.04596	0.096	-0.07253	-0.02312	-0.27177	-0.0525	0.00294	-0.26159	-0.11356	-0.01418	-0.11616	0.04493	-0.07276	0.11129	-0.12321	-0.0675	0.13365	-0.10827	-0.2688	0.02556	0.02131	0.20035	0.04375	0.01726	-0.05069	-0.0336	-0.1886	0.09022	-0.09583	-0.05541	0.01397	-0.08023	0.00141	-0.03219	-0.16351	-0.23448	-0.07458	0.0538	0.09046	-0.09813	0.29523	-0.09502	-0.02627	0.05844	0.14684	-0.01775	-0.11081	-0.04743	-0.09798
ANDROGEN_RESPONSE	-0.238	-0.20581	-0.18742	0.02413	-0.27638	-0.36011	-0.33341	-0.05649	-0.29259	-0.31879	0.03789	-0.23164	0.0951	-0.35939	0.05683	-0.00231	-0.43388	0.18326	-0.30361	-0.12953	0.24434	0.37678	0.07353	-0.14244	-0.04861	-0.05661	0.25018	-0.04976	-0.11404	0.02772	0.0255	0.02491	0.00773	-0.23972	0.115	-0.13186	-0.39248	0.25406	-0.01301	-0.12344	0.27987	-0.00106	0.10927	-0.00056	-0.11838	-0.38709	-0.21604	0.21069	-0.2487	-0.20871	-0.05242	-0.18562	0.00069	0.34488	-0.12545	0.13886	0.29155	-0.06318	0.0203	-0.0652	0.19803	-0.01399	0.10031	0.2295	0.06992	0.23732	0.06549	0.13335	-0.01474	-0.33795
PROTEIN_SECRETION	-0.08734	-0.31805	-0.00924	0.12274	-0.19591	-0.47907	-0.47988	-0.13248	-0.2625	-0.35655	0.29533	-0.38981	0.16378	-0.24088	-0.0203	0.16268	-0.32178	-0.20537	-0.34255	-0.24486	0.31038	0.41133	0.13805	-0.27578	-0.35843	0.00988	0.05101	-0.03768	-0.11405	0.17951	-0.27323	-0.15992	0.00791	-0.46025	-0.06468	0.23787	-0.42113	0.18135	0.03358	-0.24294	0.02204	0.26635	-0.19346	-0.07424	-0.12037	-0.35865	0.00389	0.43763	0.00304	-0.02602	-0.23822	0.26134	0.18725	0.3948	-0.11582	0.30616	0.3774	0.00869	0.03365	0.07193	0.11181	-0.25187	0.09716	0.33818	0.10827	-0.04425	0.16131	0.33395	-0.11217	-0.41871
INTERFERON_ALPHA_RESPONSE	-0.11878	0.44563	0.29861	-0.66984	-0.25201	0.09	0.04081	-0.60081	-0.50602	-0.37604	-0.27313	-0.52202	-0.49782	0.6522	0.68457	-0.1715	-0.07923	-0.04249	0.11815	-0.61385	-0.60481	-0.24121	-0.63678	-0.61985	-0.36064	0.28539	-0.19883	-0.25393	-0.33655	-0.3826	-0.56225	-0.14338	0.46821	-0.49209	-0.58198	-0.41215	-0.21107	-0.28567	0.3421	-0.3683	0.36668	-0.58062	-0.28102	0.36988	-0.62515	-0.04397	-0.02631	0.0895	0.35782	0.46003	0.4616	0.52191	-0.17177	-0.32557	0.61714	0.68415	0.6639	0.70167	-0.46608	0.11086	-0.34963	0.08891	0.24363	-0.13793	0.42893	0.43981	0.10382	0.05818	0.07552	0.07128
INTERFERON_GAMMA_RESPONSE	-0.29022	0.3371	-0.0644	-0.47795	-0.32702	-0.17034	-0.12043	-0.49465	-0.37767	-0.30216	-0.21574	-0.4724	-0.34069	0.60165	0.55232	-0.25331	-0.15008	-0.09296	-0.04711	-0.51574	-0.42197	-0.08287	-0.47282	-0.52537	-0.3093	0.05513	-0.25745	-0.27206	-0.35628	-0.17593	-0.39435	0.00874	0.48136	-0.4032	-0.39123	-0.33502	-0.039	-0.00491	0.32951	-0.27341	0.34398	-0.49466	-0.24276	0.36318	-0.47349	-0.11342	-0.07545	0.05742	0.28872	0.38239	0.38474	0.21026	-0.3315	-0.30969	0.52327	0.58198	0.58535	0.65026	-0.49776	0.1232	-0.40268	-0.04879	-0.01974	-0.185	0.28846	0.21536	0.08741	0.18917	0.165	0.04978
APICAL_JUNCTION	0.04475	0.00917	-0.16086	0.09206	-0.30488	0.02411	0.09539	-0.27065	-0.15027	-0.08599	-0.07779	0.13909	0.20887	-0.34913	-0.24607	-0.13021	-0.15724	0.34615	-0.0164	0.08607	-0.07062	-0.13444	-0.00968	-0.0392	0.36966	-0.00433	-0.09018	-0.01169	0.02206	-0.14647	0.0095	0.36464	0.06082	0.22196	0.13235	-0.06554	-0.09877	-0.03974	0.0105	0.00754	0.32354	-0.2082	0.20313	-0.00189	0.00313	-0.13483	-0.23812	-0.20789	0.1294	0.06016	0.38522	0.03934	0.1889	0.04581	-0.12575	-0.37076	-0.24417	-0.05693	-0.01934	-0.19955	-0.07047	0.03001	-0.21906	-0.23447	-0.05064	0.08544	-0.12216	-0.08652	0.05016	-0.15364
APICAL_SURFACE	0.05804	0.31121	0.00991	0.2647	-0.39909	-0.0964	0.01407	-0.06804	-0.19354	-0.3633	-0.29662	-0.13114	0.17451	-0.23969	-0.20605	0.08096	-0.3656	0.36273	0.01027	0.31207	0.13698	0.1315	0.17671	-0.08515	0.1682	-0.09223	-0.01889	0.07097	-0.05903	-0.00395	0.12153	0.35704	-0.32564	0.20661	0.16929	0.15455	-0.30189	0.05996	0.01497	-0.0932	0.21888	0.25421	0.04221	0.0169	0.02986	-0.19077	-0.24463	-0.27012	0.08376	-0.01295	0.38351	-0.01406	-0.04407	0.03634	0.09689	-0.09572	-0.0724	-0.09509	0.04014	-0.14178	0.03335	0.13597	-0.12621	-0.29636	-0.1208	0.02867	-0.23243	-0.08565	-0.134	-0.16178
HEDGEHOG_SIGNALING	0.1747	0.05254	-0.20865	-0.05412	-0.44489	-0.04297	-0.33023	-0.26727	0.19533	-0.02872	0.0271	0.31922	-0.01424	-0.45329	-0.30755	-0.22196	-0.37148	0.32069	-0.00042	-0.1698	-0.10909	-0.00753	-0.05544	-0.04439	0.23522	-0.10096	-0.02675	-0.02052	0.00848	-0.19084	0.32587	0.35867	0.04494	0.25597	-0.15602	-0.35306	-0.26331	0.05639	0.43593	0.04954	0.38067	-0.19607	0.23629	-0.00769	0.01469	-0.05841	-0.31224	0.18633	0.15295	0.10831	0.2607	-0.07185	0.25602	0.2061	-0.26338	-0.28468	0.05957	-0.30414	-0.16241	-0.39774	0.12941	-0.13106	0.0462	0.10947	0.12949	0.10754	-0.18352	-0.13231	-0.00917	-0.33197
COMPLEMENT	-0.10745	-0.14131	-0.01262	-0.17369	0.02292	-0.21333	-0.14182	-0.05844	0.01511	-0.14331	-0.1355	-0.1684	-0.07606	0.20083	0.18536	-0.00511	-0.14335	-0.13116	-0.19271	-0.32341	-0.11573	-0.03461	-0.17164	-0.27952	-0.06891	-0.08453	-0.06238	-0.26199	-0.06303	0.03466	-0.14691	-0.02695	0.2244	-0.28134	0.10374	-0.11756	-0.03755	0.01872	0.11892	-0.21235	0.26046	-0.18513	-0.12812	0.32959	-0.31358	-0.12588	0.02094	0.13936	0.34333	0.20653	0.15473	0.04878	-0.18772	-0.20777	0.22298	0.24873	0.29364	0.28123	-0.33317	-0.11643	-0.30643	-0.17563	-0.21363	-0.1705	-0.00544	-0.16024	0.11899	0.06275	0.03961	-0.08138
UNFOLDED_PROTEIN_RESPONSE	0.38387	-0.14531	-0.18344	-0.02792	-0.37788	0.16832	-0.05756	-0.26719	-0.49704	-0.26696	-0.06151	-0.44754	0.06488	-0.3002	-0.16821	-0.37446	-0.04511	-0.40208	-0.17264	-0.01897	0.23769	0.24829	0.40349	-0.12757	-0.1367	-0.14627	-0.1813	-0.26593	-0.29025	0.11838	-0.24893	-0.22962	0.2664	-0.23465	0.05801	-0.26325	-0.21581	-0.07835	-0.00458	-0.26609	0.21033	0.30332	-0.27488	0.15136	0.31582	-0.01856	0.05271	-0.0693	0.12	0.28942	-0.37811	0.05106	-0.27396	0.16613	-0.0851	0.02702	0.04614	-0.23423	0.09995	0.12959	0.35383	0.08174	0.26267	0.1114	0.24957	-0.06626	-0.15947	-0.24054	-0.37409	-0.11374
PI3K_AKT_MTOR_SIGNALING	0.02958	-0.1351	-0.127	-0.22343	-0.06873	-0.16388	-0.13158	-0.39377	-0.15013	-0.08641	0.20395	-0.09325	0.01861	-0.10779	0.20431	-0.04841	-0.12139	0.00783	-0.1903	-0.32601	-0.18431	-0.10096	-0.26133	-0.34706	0.20987	0.0619	-0.00625	0.12834	-0.16791	0.1201	-0.22107	-0.06538	0.36995	-0.30503	0.04031	-0.16522	-0.20689	-0.23897	-0.02568	-0.07652	0.30164	-0.10398	0.01452	0.08025	-0.24138	-0.13824	-0.1194	-0.12577	0.03702	0.10736	-0.06174	0.06585	-0.0761	-0.11719	0.12175	0.04336	0.10805	0.01096	-0.11945	-0.09267	-0.09736	-0.05547	0.06001	0.01886	-0.02863	0.16513	0.30022	-0.05012	0.02867	-0.06256
MTORC1_SIGNALING	0.27956	-0.4749	-0.01768	-0.1343	-0.04678	0.09275	-0.09423	-0.19469	-0.50621	-0.32404	-0.16424	-0.60165	0.0035	-0.07351	0.04314	-0.43078	-0.14865	-0.40489	-0.29206	-0.31837	0.24465	0.39073	0.22734	-0.27457	-0.17543	-0.23867	-0.33002	-0.27458	-0.36003	0.14292	-0.42617	-0.45928	0.4444	-0.43856	-0.07911	-0.37519	-0.21448	0.0982	-0.22722	-0.32141	0.10092	0.02222	-0.21427	0.08035	0.08324	-0.04322	0.08536	0.19001	0.08046	0.19743	-0.52355	0.02728	-0.21195	0.18952	-0.02444	0.34695	0.20918	-0.01068	0.08147	0.312	0.16672	0.31807	0.3414	0.25653	0.37199	0.06006	0.14126	0.05636	-0.14495	0.00692
E2F_TARGETS	0.1588	-0.26807	-0.41393	-0.34979	-0.14512	-0.23291	-0.34965	-0.38016	-0.22893	-0.27317	0.24876	-0.36289	-0.24566	-0.38541	-0.12133	-0.40916	-0.17735	0.01069	-0.23602	-0.48722	0.0895	-0.04812	-0.22349	-0.43162	-0.02425	0.0362	0.1479	-0.44142	-0.30605	0.35666	-0.50537	-0.53332	0.52158	-0.64086	-0.10043	-0.35246	-0.47848	-0.39888	-0.49756	0.03507	0.2207	0.4371	-0.31147	-0.2766	-0.01261	-0.15513	-0.11457	0.23433	-0.51768	0.32445	-0.52424	0.54086	-0.56009	-0.03612	0.22363	0.54269	0.33283	0.17317	0.43384	0.44995	0.55557	0.35619	0.48171	0.37708	0.5128	0.31137	-0.02076	-0.25311	-0.2694	-0.35859
MYC_TARGETS_V1	0.5505	-0.41975	0.06567	-0.36824	0.06871	0.23541	-0.00064	-0.4898	-0.43507	0.09832	0.2834	-0.61509	-0.03689	-0.03853	-0.38541	-0.56691	0.21997	-0.50122	0.09555	-0.38472	0.41609	0.23802	0.29957	-0.32003	-0.35564	-0.17978	-0.19923	-0.15473	-0.45216	0.38342	-0.48149	-0.59298	0.52877	-0.60544	-0.33448	-0.37721	-0.05913	-0.31386	-0.46984	-0.17497	-0.06203	0.59526	-0.39307	-0.20741	-0.08881	0.17388	0.36351	0.17903	-0.43975	-0.14141	-0.66149	0.32884	-0.57173	-0.0539	-0.3572	0.37643	0.18238	-0.4339	0.3557	0.52552	0.35071	0.34749	0.47741	0.39099	0.41887	-0.22161	0.02666	-0.29048	-0.45011	0.26949
MYC_TARGETS_V2	0.27431	-0.23326	-0.42965	-0.3762	0.12496	0.40711	0.2194	-0.22763	-0.26354	-0.04517	-0.20354	-0.51165	-0.06409	-0.40548	-0.44518	-0.5851	0.29408	-0.31936	-0.10587	0.09032	0.25196	0.09193	0.57922	0.17043	-0.02868	-0.36106	-0.43686	-0.38647	-0.55249	0.08878	-0.38993	-0.48759	0.52158	-0.43378	-0.08995	-0.51677	-0.1567	-0.23976	-0.32612	-0.26484	-0.09279	0.51984	-0.27732	-0.28968	0.36097	0.02881	-0.14934	-0.33819	-0.14511	0.42407	-0.4508	0.16436	-0.52095	-0.31823	0.05817	-0.04566	-0.1565	-0.02841	0.28402	0.52577	0.3022	0.43513	0.30304	0.10399	0.57408	-0.01542	0.15001	-0.51134	-0.25067	0.23102
EPITHELIAL_MESENCHYMAL_TRANSITION	0.4194	0.02058	-0.11974	0.25102	-0.34903	0.25401	0.13486	-0.00141	-0.54045	-0.2786	-0.48671	-0.34656	0.44487	-0.35319	-0.56592	-0.22998	-0.05282	-0.04462	0.27289	0.42606	0.12725	0.32938	0.30514	0.13226	0.07061	-0.15198	-0.18647	-0.06281	-0.26023	-0.36359	0.11998	0.3685	-0.24135	0.4104	0.47256	0.07591	-0.22834	0.05244	0.24279	-0.35169	0.30658	0.20483	0.15487	0.2391	0.39609	-0.0529	0.05664	-0.06928	0.34647	0.12638	0.23228	0.08967	0.28887	0.28988	-0.41527	-0.36231	-0.23609	-0.20503	-0.00499	-0.04562	-0.00448	0.19734	-0.08188	0.02752	0.16776	0.00121	-0.55203	-0.40996	-0.4705	-0.56706
INFLAMMATORY_RESPONSE	-0.13661	-0.05307	-0.17877	0.04728	-0.2935	-0.29117	-0.30017	-0.12594	-0.26345	-0.26574	-0.35498	-0.39405	-0.1131	0.40977	0.1891	-0.03541	-0.12894	0.00448	-0.2889	-0.22234	-0.1455	0.07445	-0.04677	-0.36671	-0.01903	-0.0294	-0.35024	-0.16183	-0.13261	-0.00754	-0.0321	0.24564	0.36501	-0.1616	0.13484	-0.17231	0.08035	0.18867	0.20812	-0.28999	0.38273	-0.28623	-0.12387	0.29052	-0.28062	-0.02196	-0.12455	0.0245	0.13828	0.234	0.32723	-0.08749	-0.20438	-0.07294	0.30388	0.33874	0.38538	0.40086	-0.47169	-0.12521	-0.40522	-0.28218	-0.32681	-0.09026	0.04012	-0.12582	-0.07235	0.15934	0.10011	-0.19564
XENOBIOTIC_METABOLISM	-0.05921	-0.2648	0.03614	-0.1037	0.18277	0.16863	0.16611	-0.03162	-0.00168	-0.0713	-0.08499	-0.28768	0.16681	-0.01453	-0.07648	-0.20183	0.06497	-0.1781	-0.13026	0.29252	0.12847	-0.10339	0.10795	0.05593	-0.18212	-0.35525	-0.22751	0.00396	-0.38291	-0.11301	-0.22315	-0.29684	-0.17618	-0.16233	0.16615	-0.09	0.18765	0.17033	-0.0223	-0.15447	-0.1125	-0.11579	-0.10839	0.20771	0.07105	-0.11523	0.13924	-0.01373	0.25299	0.01913	-0.06664	0.08574	-0.05734	-0.19541	0.07464	-0.17876	-0.06144	-0.00654	-0.22585	0.20252	-0.23219	0.1556	-0.01645	-0.02149	0.01488	0.09234	0.06485	0.06811	-0.08261	0.05679
