Upstream.Regulator	Expr.Log.Ratio	Molecule.Type	Predicted.Activation.State	Activation.z.score	Flags	p.value.of.overlap	Target.Molecules.in.Dataset	Mechanistic.Network	q.overlap
ACVRL1	NA	kinase	Not significant	1.236	bias	7.04e-06	EFNA1,EFNB2,ENG,ID1,KDR,VEGFA	21 (4)	0.0001648
TAZ	NA	enzyme	Not significant	-0.896	bias	7.2e-06	CD44,COL5A2,COX4I2,ESM1,FLT1,LDHA,LOX,LOXL2,VEGFA	12 (2)	0.0001648
NKX2-3	NA	transcription regulator	Not significant	0.058	NA	7.9e-06	CD300LG,CD34,EMCN,GALNT15,HEY1,HEY2,LY6E,MFNG,PLCB1,Podxl,POSTN,TRPC6,YPEL2	NA	0.000169870769230769
GATA1	NA	transcription regulator	Activated	3.063	bias	9.47e-06	ALAS2,ALOX12,DMTN,ETS2,GATA2,GP9,HBB,INHBB,ITGA2B,KDR,PECAM1,Podxl,SLC4A1,SNCA,TAL1	NA	0.000190323902439024
ERBB2	NA	kinase	Not significant	-1.153	bias	1.19e-05	ABCG2,BNIP3,CD34,COL5A2,DLL1,FLT1,FOXO1,FZD4,HEY1,ID1,ITGA2,JAG2,KDR,LDHA,MFNG,NFIB,NOTCH4,SCARB1,SERPINI1,SNCA,Sult1a1,THSD1,TNC,TSC22D1,VCAN,VEGFA	113 (15)	0.00023186976744186
SMARCA4	NA	transcription regulator	Activated	2.696	bias	1.21e-05	ANO1,BAMBI,CD44,CSF1,DLL1,DYSF,ETS2,FKBP5,GCHFR,HBB,HEY1,ICAM2,ITGA3,KDR,LEF1,LOX,LOXL2,NOSTRIN,SOX17,TAL1,TBX2,TMEM204,TSPAN13	NA	0.00023186976744186
TP53	NA	transcription regulator	Not significant	1.711	NA	1.4e-05	ABCG2,ACER2,AK1,AK4,ASS1,BCL6B,BIK,BNIP3,CARD10,CD44,COL13A1,COL5A2,CRACR2B,Crip2,CSF1,CTSD,EFNA1,ENG,EPAS1,EPHA2,FKBP5,FOXO1,FZD4,GPR4,ID1,INSR,ITGA2,ITGA2B,KANK3,KDR,LDHA,LOX,LSP1,MAPK12,MYO6,PECAM1,POSTN,PPM1F,PPP1R13B,PTN,RAMP3,RPS6KA2,SCPEP1,SNRK,THBS2,TNC,VCAN,VEGFA	104 (14)	0.000262181818181818
BMP4	NA	growth factor	Not significant	1.889	bias	2.35e-05	ABCG2,EFNA1,GATA2,HEY1,ID1,KDR,LEF1,POSTN,SCARB1,SOX17,TAL1,VEGFA	109 (13)	0.000405133333333333
NEUROG1	NA	transcription regulator	Not significant	0.378	NA	2.36e-05	ASS1,C1orf115,CDK5R1,EPAS1,SCG2,SERPINF1,TACR1	NA	0.000405133333333333
ADAM15	NA	peptidase	Not significant	0	NA	2.69e-05	CD44,FLT1,KDR,VEGFA	86 (9)	0.000434619607843137
GDF2	NA	growth factor	Not significant	1.551	bias	2.77e-05	ABCG2,EFNB2,ENG,GATA2,GJA4,ID1,POSTN,SERPINF1	13 (4)	0.000438938461538462
RBPJ	NA	transcription regulator	Not significant	1.976	bias	2.84e-05	CD44,CSF1,DLL1,DLL4,HEY1,HEY2,INHBB,LEF1,TNC,VEGFA	113 (14)	0.000441539622641509
SPDEF	NA	transcription regulator	Not significant	-0.378	bias	3.18e-05	CD34,COL13A1,COL5A2,ITGA3,LEF1,SOX17,TNC	44 (5)	0.000476421818181818
TP73	NA	transcription regulator	Not significant	0.916	NA	3.26e-05	ALAS2,C1R,COL5A2,CTSD,ENG,EPHA2,FLT1,GATA2,JAG2,KCNQ1,LDHA,ROBO4,SERPINA1,SERPINF1,SNRK,THBS2,VEGFA	99 (13)	0.000479685714285714
Brd4	NA	kinase	Not significant	0	bias	3.44e-05	ALAS2,COL5A2,EDNRB,LOX,LOXL2,SLC4A1	NA	0.0004944
RXFP2	NA	G-protein coupled receptor	Activated	2	bias	3.63e-05	INHBB,NOTCH4,SOX17,SOX18	NA	0.0004944
IFNG	NA	cytokine	Not significant	0.401	bias	3.66e-05	ADORA2A,ALOX12,ASS1,C1R,CD44,CDK5R1,COL5A2,CSF1,CTSD,DEGS1,DLL1,EDNRB,EFNB2,EMID1,ESM1,ETS2,FKBP5,FLT1,FLT4,FOXO1,GCHFR,ID1,INSR,KDR,LDHA,LOX,LY6E,NAPSA,PCDH17,PECAM1,PTN,SCARB1,SEPTIN4,SERPINA1,SMAGP,TACR1,TRIL,VEGFA	136 (19)	0.0004944
HOXA3	NA	transcription regulator	Not significant	1.633	NA	4.38e-05	EGFL7,ENG,EPAS1,HEY2,ICAM2,SOX17	NA	0.000553078787878788
Rhox4b (includes others)	NA	transcription regulator	Not significant	0	NA	4.43e-05	CD34,KDR,TAL1	NA	0.000553078787878788
EPAS1	1.88	transcription regulator	Not significant	0.186	bias	4.43e-05	ABCG2,BNIP3,FLT1,GCHFR,INHBB,ITGA2B,KDR,LDHA,LOX,LOXL2,TAF9B,VEGFA	NA	0.000553078787878788
TRPM2	NA	ion channel	Not significant	-0.152	NA	5.84e-05	BNIP3,COX4I2,EPAS1,LDHA,VEGFA	NA	0.000697414492753623
IHH	NA	enzyme	Not significant	1.342	bias	5.84e-05	FLT1,KDR,PECAM1,TAL1,VEGFA	NA	0.000697414492753623
EDN1	NA	cytokine	Not significant	1.016	bias	7.56e-05	EDNRB,FLT4,HEY1,INSR,ITGA2,RAB3A,RAMP3,TNC,TRPC6,VCAN,VEGFA	120 (18)	0.000877385915492958
CYP4F2	NA	enzyme	Not significant	0	NA	7.68e-05	FLT1,KDR,VEGFA	15 (3)	0.000878933333333333
SOX3	NA	transcription regulator	Not significant	-1.134	bias	9.1e-05	CHST15,DLL1,EPHA2,Macf1,PECAM1,SOX17,VEGFA	NA	0.00101552432432432
SETD2	NA	enzyme	Not significant	-0.447	bias	9.12e-05	ENG,FLT1,GJA4,SERPINF1,SOX17	NA	0.00101552432432432
NUMB	NA	other	Not significant	0.152	NA	9.88e-05	DLL4,HEY1,HEY2,TRPC6	42 (8)	0.00105641025641026
NOX1	NA	enzyme	Not significant	0.594	bias	9.88e-05	EPAS1,FLT1,KDR,VEGFA	NA	0.00105641025641026
NOTCH3	NA	transcription regulator	Activated	2.425	bias	0.000104	EPAS1,HEY1,HEY2,ID1,Rbfox3,RGS5	70 (6)	0.00105797530864198
PGR	NA	ligand-dependent nuclear receptor	Not significant	0.28	bias	0.000104	ABCG2,AK4,CD44,CTSD,EPAS1,FKBP5,FOXO1,ID1,POSTN,SERPINA1,STC1,TNC,VCAN	115 (15)	0.00105797530864198
IKZF1	NA	transcription regulator	Not significant	-0.877	bias	0.000142	ALAS2,CD34,DOK4,EXOC3L1,FOXO1,GP9,INSR,ITGA2B,PGAM1,RAPGEF4,Sult1a1,YPEL2	NA	0.00137656470588235
CCN1	NA	other	Not significant	1.691	bias	0.000144	ITGA2,ITGA3,KDR,NLK,PECAM1,TIE1,VEGFA	75 (7)	0.00137972093023256
FLI1	NA	transcription regulator	Not significant	-0.327	bias	0.000152	GP9,HBB,ITGA2B,LOX,TNC,VEGFA	28 (3)	0.00142327272727273
ESR1	NA	ligand-dependent nuclear receptor	Not significant	0.055	NA	0.000156	ABCG2,AK1,ASS1,CDK5R1,CHRM2,COL13A1,COL5A2,CTSD,DLL1,DMTN,EFNA1,EFNB2,FAM102A,FOXO1,HEY1,ID1,INHBB,INSL3,INSR,ITGA2B,MAPK11,MAPK12,MCF2L,MYO6,NFIB,NLK,PCDHB5,PLCB1,RAMP3,RTN4RL1,SCARB1,SEMA3F,SHANK3,SPRY4,VEGFA	138 (18)	0.00144431460674157
IL1B	NA	cytokine	Not significant	-0.726	bias	0.000161	ABCG2,ASS1,BAMBI,C1R,CD44,CSF1,DLL4,EFNA1,ENG,EPAS1,ETS2,FKBP5,FLT1,FOXO1,GCHFR,INSR,KDR,LDHA,LOX,PGAM1,POSTN,Ppbp,SCARB1,SNCA,TACR1,VCAN,VEGFA	148 (19)	0.00145784615384615
CEACAM1	NA	transporter	Not significant	0.277	NA	0.000175	DLL1,HEY1,KDR,TIE1,VEGFA	NA	0.00156739130434783
PTEN	NA	phosphatase	Not significant	1.247	NA	0.000179	BACE2,CD44,COL5A2,DEGS1,EFNB2,EPAS1,ETS2,FLT1,FOXO1,FZD4,GP9,GPR4,JAG2,KDR,MYO6,NOTCH4,PECAM1,PTN,RAMP3,TAF9B,TNFAIP1,VEGFA	114 (15)	0.00158597849462366
SLC18A2	NA	transporter	Not significant	0	NA	0.000181	SLC6A3,SNCA,TACR1	NA	0.00158663829787234
ESR2	NA	ligand-dependent nuclear receptor	Not significant	0.369	NA	0.000195	BAMBI,CD34,CDK5R1,CHST15,COL13A1,CTSD,DMTN,FOXO1,ITGA2,KDR,LIMCH1,LOX,SCARB1,SEMA3F,SOX11,TSC22D1,TSPAN13,VEGFA	119 (11)	0.00169047422680412
POSTN	-1.88	other	Not significant	-0.692	bias	0.000197	HEY1,HEY2,LOX,LOXL2,PTN	NA	0.00169047422680412
ASCL1	NA	transcription regulator	Not significant	1.709	bias	0.000219	CDK5R1,DLL1,DLL4,EPHA2,HEY2,ID1,MFNG	NA	0.00184138775510204
SP1	NA	transcription regulator	Not significant	1.857	bias	0.000231	ADCY4,ALAS2,ALOX12,ASS1,BACE2,CRYBB3,CTSD,ENG,FLT1,HBB,INSR,ITGA2,KDR,PTN,ROBO4,SCARB1,TBXA2R,TNC,VEGFA	78 (7)	0.00190091089108911
GNAQ	NA	enzyme	Not significant	0	NA	0.000233	AK4,BNIP3,CD44,GJA4,MAPK11,NFIB,PLCB1,VEGFA	31 (3)	0.00190091089108911
PITX2	NA	transcription regulator	Not significant	-0.156	bias	0.000247	FOXO1,FZD4,GATA2,GFOD2,KCNQ1,LDHA,LEF1,TBX2	NA	0.00192021428571429
GPC1	NA	transmembrane receptor	Not significant	0	NA	0.000256	EFNA1,SOX17,VEGFA	NA	0.00192021428571429
UHRF2	NA	enzyme	Activated	2	bias	0.000257	FOXO1,JAG2,PHF21B,PPP1R13B	NA	0.00192021428571429
FOXC1	NA	transcription regulator	Not significant	0	NA	0.000257	DLL1,EFNB2,FOXO1,TSC22D1	NA	0.00192021428571429
HMOX1	NA	enzyme	Not significant	1.673	NA	0.00029	ADORA2A,ENG,FLT1,ID1,KDR,PECAM1,THBS2,VEGFA	133 (17)	0.00209614035087719
ID3	NA	transcription regulator	Not significant	0.816	NA	0.00033	CCR9,CD44,CSF1,ETS2,FOXO1,INHBB,PIK3C2B,RAPGEF4,RPS6KA2,SOX13	18 (2)	0.00236452173913043
NRAS	NA	enzyme	Not significant	0.186	bias	0.000344	AK1,CD34,Crip2,EPAS1,ITGA2,KDR,LSP1,RPS6KA2,SPRY4,VEGFA	34 (3)	0.00244358620689655
JMJD1C	NA	enzyme	Not significant	0	NA	0.000348	FLT1,ID1,TAL1	9 (2)	0.00245087179487179
PROX1	NA	transcription regulator	Not significant	0	NA	0.000354	CD34,FLT4,HEY1,KDR	NA	0.00245826666666667
CEBPA	NA	transcription regulator	Not significant	0.156	bias	0.000357	APLNR,ASS1,BIK,CSF1,EFNB2,EMCN,FLT1,FOXO1,GATA2,GP9,ICAM2,ID1,INSR,SERPINF1,SERPINI1,VCAN	NA	0.00245826666666667
MET	NA	kinase	Not significant	0.08	bias	0.000358	CD44,COL5A2,HLX,ITGA3,JAG2,NOTCH4,TSC22D1,VEGFA	106 (13)	0.00245826666666667
SOX1	NA	transcription regulator	Not significant	-1.633	bias	0.000409	CHST15,EPHA2,Macf1,PECAM1,SOX17,VEGFA	NA	0.00278525619834711
JAG1	NA	growth factor	Not significant	1.406	bias	0.000418	GATA2,HEY1,HEY2,NOTCH4,TNC	38 (8)	0.0028232131147541
USP4	NA	peptidase	Not significant	0	NA	0.000459	ADORA2A,ID1,SOX17	NA	0.0029548125
KRIT1	NA	other	Not significant	0	NA	0.000459	DLL4,EFNB2,NOTCH4	NA	0.0029548125
HRAS	NA	enzyme	Not significant	0.761	bias	0.00048	BNIP3,CD44,COL5A2,Crip2,CSF1,DLL1,FOXO1,GIMAP1,HEY1,HEY2,LSP1,MAPK12,OSBP2,POSTN,RPS6KA2,SPRY4,TRPC6,TSC22D1,VCAN,VEGFA	116 (18)	0.00305697709923664
FOXM1	NA	transcription regulator	Not significant	-0.376	bias	0.000484	FLT1,KDR,LDHA,LEF1,LOX,PECAM1,VCAN,VEGFA	114 (19)	0.00305697709923664
GLI1	NA	transcription regulator	Not significant	0.324	bias	0.000486	ABCG2,CSF1,DEGS1,HEY2,JAG2,MAPK11,SOX18,TNC,TSC22D1,VEGFA	NA	0.00305697709923664
PRAG1	NA	kinase	Not significant	0	NA	0.000517	HEY1,HEY2	NA	0.00308701449275362
IGF2BP3	NA	translation regulator	Not significant	0	NA	0.000517	ABCG2,CD44	NA	0.00308701449275362
KRT5	NA	other	Not significant	0	NA	0.000517	SERPINF1,VEGFA	NA	0.00308701449275362
cetuximab/radiotherapy	NA	biologic drug	Not significant	0	NA	0.000517	FLT1,KDR	NA	0.00308701449275362
Rbpjl2	NA	other	Not significant	0	NA	0.000517	HEY1,HEY2	NA	0.00308701449275362
DLL1	2.23	enzyme	Not significant	0	bias	0.000546	DLL1,DLL4,EFNB2,GATA2	33 (5)	0.00323671942446043
TP63	NA	transcription regulator	Activated	2.027	bias	0.000612	ALOX12,CTSD,DLL1,EMID1,ENG,EPHA2,ID1,INSR,ITGA2,ITGA3,JAG2,POSTN,SERPINF1,THBS2,TNC,VEGFA	108 (15)	0.00357651063829787
RAF1	NA	kinase	Not significant	1.177	bias	0.000651	CD44,CHN1,EMCN,FAM171A1,ITGA2,LDHA,MCF2L,SMAGP,TSC22D1,VEGFA	78 (7)	0.0037776338028169
BRCA1	NA	transcription regulator	Not significant	-1.933	bias	0.000675	AK1,CARD10,CTSD,FKBP5,FOXO1,HBB,STC1,VCAN,VEGFA	111 (15)	0.00388951048951049
SMAD5	NA	transcription regulator	Not significant	0	NA	0.000708	CSF1,GATA2,ID1,VEGFA	NA	0.00405133333333333
CBS/CBSL	NA	enzyme	Not significant	0	NA	0.000745	CLDN5,LOX,SCARB1	NA	0.00417605442176871
MGAT3	NA	enzyme	Not significant	0	NA	0.000745	HEY1,ITGA2,ITGA3	NA	0.00417605442176871
IGF1	NA	growth factor	Not significant	0.126	bias	0.000781	AGAP2,CD44,CSF1,CTSD,EFNB2,EPAS1,FOXO1,GATA2,HBB,ID1,INSL3,INSR,ITGA3,LDHA,TBX2,VEGFA	128 (18)	0.00431908724832215
EP300	NA	transcription regulator	Not significant	0	NA	0.000796	ADORA2A,FOXO1,GIMAP1-GIMAP5,GIMAP4,HBB,ID1,KDR,LDHA,MCF2L,RAPGEF3,RAPGEF4,TNC,TNFAIP1,VEGFA,YPEL2	35 (5)	0.00432201290322581
DRD2	NA	G-protein coupled receptor	Not significant	0.392	NA	0.000801	EDNRB,KDR,SLC6A3,VEGFA	35 (4)	0.00432201290322581
RET	NA	kinase	Not significant	0	NA	0.000806	CLDN5,CSF1,EDNRB,LOX,PTN,SLC6A3,STC1	NA	0.00432201290322581
GMNN	NA	transcription regulator	Not significant	-1.633	bias	0.000813	CHST15,EPHA2,Macf1,PECAM1,SOX17,VEGFA	NA	0.00432201290322581
CREBBP	NA	transcription regulator	Not significant	-0.277	bias	0.000813	ADORA2A,CD44,CSF1,ESAM,GIMAP1-GIMAP5,GIMAP4,HBB,MCF2L,RAPGEF3,RAPGEF4,TNC,TNFAIP1,VEGFA,YPEL2	23 (3)	0.00432201290322581
CTNNB1	NA	transcription regulator	Not significant	-0.164	bias	0.000896	BAMBI,CD34,CD44,CLDN5,DLL4,GATA2,ID1,INHBB,KDR,LEF1,LSP1,LY6E,PECAM1,Podxl,PPP1R13B,RAB3A,SERPINA1,SOX11,SOX17,SPRY4,TNC,TSC22D1,VCAN,VEGFA	115 (16)	0.00470257324840764
BDKRB2	NA	G-protein coupled receptor	Not significant	0	NA	0.000923	CD44,FOXO1,SNCA	NA	0.00481362025316456
PPARGC1A	NA	transcription regulator	Not significant	-1.096	NA	0.000943	AK1,BNIP3,EPAS1,INHBB,LDHA,PGAM1,POSTN,PTN,SCARB1,SEMA3G,STC1,VCAN,VEGFA	93 (13)	0.00488699371069182
THPO	NA	cytokine	Not significant	0.588	bias	0.001	CD44,GP9,ITGA2B,KDR,VEGFA	98 (12)	0.00508215568862275
BRD3	NA	kinase	Not significant	0	NA	0.00103	ALAS2,SLC4A1	NA	0.00508215568862275
Meg3	NA	other	Not significant	0	NA	0.00103	FLT1,VEGFA	NA	0.00508215568862275
SLCO1C1	NA	transporter	Not significant	0	NA	0.00103	Nrgn,VEGFA	NA	0.00508215568862275
PLAGL2	NA	transcription regulator	Not significant	0	NA	0.00103	BNIP3,LDHA	NA	0.00508215568862275
FOXC2	NA	transcription regulator	Activated	2	bias	0.00109	DLL1,EFNB2,INSR,KDR,LEF1	NA	0.00534619047619048
HIF1AN	NA	enzyme	Not significant	0	NA	0.00112	HEY1,LDHA,VEGFA	59 (4)	0.00542870588235294
EPHX2	NA	enzyme	Not significant	0	NA	0.00112	DLL1,DLL4,HEY1	NA	0.00542870588235294
PRKN	NA	enzyme	Not significant	-0.958	NA	0.00113	KDR,LEF1,SEPTIN4,SLC6A3	16 (3)	0.00544514619883041
PAX3	NA	transcription regulator	Not significant	0	NA	0.00128	ASS1,CLDN5,ICAM2,MCC,SNCA,SNRK,TNC,TSC22D1,VCAN	NA	0.00613209302325581
VCAN	-2.23	other	Not significant	1.195	NA	0.0015	ASS1,C1R,CD34,INHBB,ITGA3,TMEM204,VCAN,VEGFA	77 (7)	0.00710344827586207
GDF9	NA	growth factor	Not significant	0.492	bias	0.00155	ID1,INHBB,LOX,VCAN	NA	0.00721533678756477
LYL1	NA	transcription regulator	Not significant	0	NA	0.00161	ID1,ITGA2,TAL1	NA	0.00721533678756477
ITGA6	NA	transmembrane receptor	Not significant	0	NA	0.00161	ITGA2,ITGA3,VEGFA	91 (8)	0.00721533678756477
KLRC4-KLRK1/KLRK1	NA	transmembrane receptor	Not significant	0	NA	0.00161	CD44,LEF1,VEGFA	80 (10)	0.00721533678756477
TEAD4	NA	transcription regulator	Not significant	-0.6	bias	0.00164	CD34,COL5A2,FLT1,LIMCH1,POSTN,VEGFA	NA	0.00721533678756477
KLF11	NA	transcription regulator	Not significant	0.816	NA	0.00166	ENG,ITGA2,ITGA3,LOX,SERPINA1,THBS2,VEGFA	NA	0.00721533678756477
PDGFB	NA	growth factor	Not significant	-0.517	bias	0.00168	FOXO1,RGS5,SERPINF1,TNC,VEGFA	82 (10)	0.00721533678756477
NEUROD4	NA	transcription regulator	Not significant	0	NA	0.00169	DLL1,HEY2	NA	0.00721533678756477
ISX	NA	transcription regulator	Not significant	0	NA	0.00169	CCR9,SCARB1	NA	0.00721533678756477
LSP1	-1.72	other	Not significant	0	NA	0.00169	GATA2,PECAM1	NA	0.00721533678756477
PINK1	NA	kinase	Not significant	0	NA	0.00169	BNIP3,VEGFA	73 (7)	0.00721533678756477
VCAM1	NA	transmembrane receptor	Not significant	0	NA	0.00169	ABCG2,CD44	NA	0.00721533678756477
SRSF6	NA	other	Not significant	0	NA	0.00169	TNC,VEGFA	NA	0.00721533678756477
EGLN1	NA	enzyme	Not significant	0.83	NA	0.0018	DLL1,EPAS1,JAG2,Ppbp,VEGFA	NA	0.00760615384615385
